Tag	g__Abiotrophia	g__Acinetobacter	g__Stenotrophomonas	g__Pseudomonas	g__Serratia	g__Ralstonia	g__Streptococcus	g__Klebsiella	g__Sphingomonas	g__Granulicatella	g__Prevotella	g__Veillonella	g__Bradyrhizobium	g__Cutibacterium	g__Sediminibacterium	g__Neisseria	g__Aquabacterium	g__Haemophilus_D	g__Porphyromonas	g__Corynebacterium	g__Bacteroides	g__Vibrio	g__Caulobacter	g__Alloprevotella	g__Phocaeicola	g__Pauljensenia	g__Haemophilus	g__Stutzerimonas	g__Anaeroglobus	g__Faecalibacterium	g__Enterobacter	g__Shewanella	g__Deinococcus	g__Rothia	g__Staphylococcus	g__Escherichia	g__Alistipes	g__Lancefieldella	g__Fusobacterium	g__Capnocytophaga	g__Tropheryma	g__Megamonas	g__Actinomyces	g__Leptotrichia	g__Streptomyces	g__Roseburia	g__Campylobacter_A	g__Moraxella_A	g__Megasphaera	g__Agathobacter	g__Duncaniella	g__Microbacterium	g__Parabacteroides	g__Nanosynbacter	g__Mogibacterium	g__Candidatus_Minimicrobia	g__Spiroplasma	g__Acetatifactor	g__Lachnoanaerobaculum	g__Dialister	g__Leptotrichia_A	g__F0422	g__Ruminococcus_E	g__Blautia	g__Bulleidia	g__JABCPH02	g__Centipeda	g__Haemophilus_A	g__Oribacterium	g__Pseudomonas_E	g__Phascolarctobacterium	g__Tannerella	g__Gemella	g__Treponema	g__Hominicoprocola	g__Yersinia	g__Peptostreptococcus	g__Blautia_A	g__Salmonella	g__Bifidobacterium	g__Akkermansia	g__Gemmiger	g__Citrobacter	g__Limnospira	g__Muribaculum	g__Kingella_A	g__Fusicatenibacter	g__Bariatricus	g__Taurinivorans	g__Dysosmobacter	g__Nanosyncoccus	g__Mediterraneibacter	g__Wujia	g__Collinsella	g__Anaerostipes	g__Anthropogastromicrobium	g__Dorea_A	g__Moraxella	g__Flavonifractor	g__Agathobaculum	g__Anaerotignum	g__Gallintestinimicrobium	g__Acidovorax	g__Lachnospira	g__Hominimerdicola	g__Thermoactinomyces
HD0021469-B53	0	0.661429302	0	0.081297507	0	0.257273191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021470-B54	0	0.70054271	0	0.29945729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021471-B55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021472-B56	0	0.010988186	0	0	0.936448464	0	0.015153994	0	0	0	0	0	0	0	0	0.009956258	0	0.013698538	0	0	0	0	0	0	0	0	0.01375456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021473-B57	0	0.824058005	0	0.175941995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021474-B58	0	0.770567584	0	0	0	0.229432416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021475-B59	0	0.784839597	0	0.143906654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071253749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021476-B60	0	0.124756335	0	0.040545811	0	0.273294346	0.126900582	0	0	0	0	0.058576997	0	0	0	0	0	0	0.085769979	0.29015595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027608-B61	0	0	0	0	0	0.269469707	0.431464099	0	0.299066194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027609-B62	0	0	0	0	0	0	0	0	0.319932454	0	0.025113037	0	0.033992481	0.150460312	0.143051697	0	0	0	0	0	0	0	0.14381435	0	0	0	0	0	0	0	0.019992376	0	0.0210274	0	0.014054583	0	0	0	0	0	0	0.025058559	0	0	0.037805741	0	0	0.024023535	0	0	0	0.027237563	0.01443591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027610-B63	0	0	0	0	0	0	0	0	0.663394117	0	0	0	0	0	0	0	0	0	0	0	0	0	0.336605883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027611-B64	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027612-B65	0	0	0	0	0	0	0	0	0.494253382	0	0	0	0	0	0.505746618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027613-B66	0	0	0	0	0	0	0	0	0.325377885	0.083929992	0.144391408	0.240254573	0	0	0	0	0	0	0.206046143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027614-B67	0	0	0	0	0	0	0.568624319	0	0.004063487	0.427312194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
